ticker,nom,pru,quantite,compte,devise,cours_actuel_eur,valeur_ligne,performance_pct,plus_moins_value_eur
EL.PA,EssilorLuxottica,170.5,2.0,PEA,EUR,168.1999969482422,336.3999938964844,-1.35,-4.6
RI.PA,Pernod Ricard,67.25,3.0,PEA,EUR,64.12000274658203,192.3600082397461,-4.65,-9.39
VIE.PA,Veolia,34.51,3.0,PEA,EUR,37.52000045776367,112.56000137329102,8.72,9.03
MSFT,Microsoft,342.0,0.8,CTO,USD,344.83438979975676,275.86751183980545,0.83,2.27
GOOGL,Alphabet,307.08,0.44,CTO,USD,323.8805130035319,142.50742572155406,5.47,7.39
V,Visa,285.06,0.67,CTO,USD,312.2216373353032,209.18849701465317,9.53,18.2
NOW,ServiceNow,92.0,0.92,CTO,USD,91.10312544273332,83.81487540731466,-0.97,-0.83
