date,valeur_totale,cto,pea
2026-07-29 11:57,3844.34,1723.13,2121.21
2026-07-29 11:57,3844.44,1723.13,2121.31
2026-07-29 11:57,3844.66,1723.13,2121.53
2026-07-29 11:57,3844.79,1723.13,2121.66
2026-07-29 11:57,3844.75,1723.13,2121.62
