ticker,nom,pru,quantite,compte,devise,cours_actuel_eur,valeur_ligne,performance_pct,plus_moins_value_eur
EL.PA,EssilorLuxottica,170.5,2.0,PEA,EUR,168.1999969482422,336.3999938964844,-1.35,-4.6
RI.PA,Pernod Ricard,67.25,3.0,PEA,EUR,64.12000274658203,192.3600082397461,-4.65,-9.39
VIE.PA,Veolia,34.51,3.0,PEA,EUR,37.52000045776367,112.56000137329102,8.72,9.03
MSFT,Microsoft,342.0,0.8,CTO,USD,345.64945104635734,276.51956083708586,1.07,2.92
GOOGL,Alphabet,307.08,0.44,CTO,USD,324.1956668547222,142.64609341607778,5.57,7.53
V,Visa,285.06,0.67,CTO,USD,311.72593485105364,208.85637635020595,9.35,17.87
NOW,ServiceNow,92.0,0.92,CTO,USD,91.70613510271086,84.369644294494,-0.32,-0.27
DCAM.PA,MSCI World PEA,6.06,94.0,PEA,EUR,6.131999969482422,576.4079971313477,1.19,6.77
EUNL.DE,MSCI World Core CTO,114.39,2.176896,CTO,EUR,126.30000305175781,274.9419714433594,10.41,25.93
